postcode,pn
2055,3
2331,3
2215,3
2899,2
2562,2
2442,2
2514,2
2772,2
2808,2
2860,2
2708,2
2686,2
2512,2
2740,2
2637,2
2890,2
2649,2
2592,2
2624,2
2310,2
2123,2
2240,2
2376,2
2202,2
2139,2
2238,2
2188,2
2332,2
2926,1
2507,1
2662,1
2690,1
2884,1
2494,1
2970,1
2497,1
2771,1
2435,1
2670,1
2814,1
2895,1
2591,1
2940,1
2693,1
2999,1
2853,1
2504,1
2788,1
2841,1
2837,1
2434,1
2510,1
2881,1
2746,1
2724,1
2688,1
2636,1
2734,1
2932,1
2467,1
2965,1
2599,1
2980,1
2542,1
2509,1
2742,1
2503,1
2697,1
2468,1
2598,1
2561,1
2239,1
2268,1
2201,1
2052,1
2078,1
2184,1
2180,1
2183,1
2003,1
2245,1
2006,1
2266,1
2383,1
2237,1
2277,1
2185,1
2414,1
2235,1
2187,1
2056,1
2269,1
2253,1
2014,1
2349,1
2189,1
