postcode,PN
2878,3
2410,3
2739,3
2716,3
2626,3
2645,3
3707,3
2588,3
2522,3
2879,3
2678,3
2725,3
2633,3
2648,3
2386,3
2013,3
2331,3
2252,3
2004,3
2401,3
2930,2
2836,2
2826,2
2411,2
2733,2
2736,2
2809,2
2737,2
2661,2
2202,2
2003,2
2149,2
2055,2
2398,2
2387,2
2236,2
2185,2
2014,2
2553,1
2796,1
2874,1
2721,1
2949,1
2418,1
3586,1
2838,1
2919,1
2408,1
2935,1
2624,1
2950,1
2764,1
2708,1
2899,1
2511,1
2808,1
2732,1
2670,1
2910,1
2301,1
2242,1
2271,1
2270,1
2367,1
2241,1
2356,1
2056,1
2186,1
2051,1
2005,1
2091,1
